GMT,Net_pwr_Falcon,Net_pwr_Apollo,Net_pwr_bt3,Net_pwr_bt4,net_pwr_bt5
8/1/19 12:10 AM,194149.5321,194223.9599,194228.4255,194242.3935,194337.6399
8/1/19 12:20 AM,194149.5321,194150.0992,194217.1011,194279.2487,194308.1207
8/1/19 12:30 AM,194149.5321,194186.3399,194246.806,194282.2831,194343.0882
8/1/19 12:40 AM,194149.5321,194220.1629,194309.557,194315.6105,194370.0659
8/1/19 12:50 AM,194149.5321,194161.4012,194185.5591,194264.8051,194344.876
8/1/19 1:00 AM,194149.5321,194174.1694,194227.1752,194267.5521,194284.1394
8/1/19 1:10 AM,194149.5321,194211.71,194264.3154,194299.9542,194393.4889
8/1/19 1:20 AM,194149.5321,194191.7713,194258.1181,194263.0737,194351.8426
8/1/19 1:30 AM,194149.5321,194217.3956,194271.4866,194318.0926,194329.4527
8/1/19 1:40 AM,194149.5321,194183.7385,194255.781,194299.9793,194398.7947
8/1/19 1:50 AM,194149.5321,194229.343,194310.1153,194374.7882,194411.6114
8/1/19 2:00 AM,194149.5321,194222.1146,194296.9719,194297.9352,194351.6545
8/1/19 2:10 AM,194149.5321,194198.857,194269.9118,194333.0075,194384.6788
8/1/19 2:20 AM,194149.5321,194224.8186,194304.4676,194339.0615,194342.0627
8/1/19 2:30 AM,194149.5321,194160.0024,194225.8292,194272.0692,194303.4569
8/1/19 2:40 AM,194149.5321,194220.2894,194248.6142,194334.8182,194404.1775
8/1/19 2:50 AM,194149.5321,194189.033,194238.4521,194315.7262,194354.8197
8/1/19 3:00 AM,152699.7781,152769.8185,152819.8425,152877.8901,152916.0055
8/1/19 3:10 AM,121254.5952,121353.0764,121395.4024,121409.3488,121426.4663
8/1/19 3:20 AM,87944.08162,87989.15002,88013.10816,88077.86104,88125.00143
8/1/19 3:30 AM,65913.03934,65985.12423,66053.08628,66128.46695,66197.49413
8/1/19 3:40 AM,47721.00848,47768.89382,47789.29514,47794.63363,47848.4576
8/1/19 3:50 AM,28014.40312,28098.55398,28173.27022,28246.15078,28315.81005
8/1/19 4:00 AM,11500.29821,11563.33985,11654.39963,11740.21705,11788.66823
8/1/19 4:10 AM,2072.931879,2114.346033,2167.424919,2178.197779,2276.422738
8/1/19 4:20 AM,0,92.47861822,159.2205939,171.4070451,211.1397731
8/1/19 4:30 AM,0,54.31991741,115.3345076,167.8152378,206.3350126
8/1/19 4:40 AM,8329.863566,8406.756361,8422.806801,8506.780748,8592.055661
8/1/19 4:50 AM,3595.622488,3673.285613,3702.849002,3729.7306,3755.215268
8/1/19 5:00 AM,56288.22616,56296.53227,56377.15853,56390.32644,56450.95104
8/1/19 5:10 AM,103878.8358,103896.2535,103951.8736,103997.6744,104014.0637
8/1/19 5:20 AM,119515.8328,119558.4184,119581.6041,119602.3001,119693.0241
8/1/19 5:30 AM,102370.1241,102374.0089,102418.7966,102468.4388,102558.1255
8/1/19 5:40 AM,89985.86665,90062.80452,90123.50425,90175.97573,90262.65827
8/1/19 5:50 AM,82322.35027,82393.01753,82428.21905,82473.17393,82490.08147
8/1/19 6:00 AM,92283.63075,92304.20643,92324.96905,92387.51372,92478.43655
8/1/19 6:10 AM,118997.5751,119005.1475,119018.8894,119031.3623,119032.3007
8/1/19 6:20 AM,141238.0376,141262.6045,141314.1804,141347.0663,141396.9163
8/1/19 6:30 AM,148377.1517,148408.8275,148428.359,148484.5799,148502.2974
8/1/19 6:40 AM,145468.1735,145505.5994,145602.3598,145616.5981,145657.425
8/1/19 6:50 AM,138946.8507,138948.499,138961.2345,139057.4143,139108.4465
8/1/19 7:00 AM,132895.858,132934.2973,133002.3493,133030.8495,133105.3094
8/1/19 7:10 AM,123193.2507,123255.71,123280.7753,123374.9034,123439.9282
8/1/19 7:20 AM,112919.906,112957.141,112982.9526,112999.3548,113067.5893
8/1/19 7:30 AM,101044.0281,101102.2451,101124.033,101190.963,101196.9126
8/1/19 7:40 AM,88814.2665,88816.35908,88903.38311,89000.74002,89053.10609
8/1/19 7:50 AM,77201.10453,77278.01157,77348.42864,77401.61505,77421.06667
8/1/19 8:00 AM,66496.08739,66496.98905,66504.31257,66584.10952,66610.78818
8/1/19 8:10 AM,56859.15239,56935.27218,56996.05365,57088.66769,57131.72839
8/1/19 8:20 AM,46219.12203,46267.36644,46320.57512,46332.10099,46374.9771
8/1/19 8:30 AM,37252.931,37281.56875,37309.5241,37314.2599,37342.9493
8/1/19 8:40 AM,29017.20731,29083.77028,29088.42562,29167.74886,29214.94515
8/1/19 8:50 AM,22378.55181,22464.45913,22479.42937,22573.26389,22589.76278
8/1/19 9:00 AM,16673.20863,16687.84384,16691.50919,16767.78454,16851.7163
8/1/19 9:10 AM,12669.29096,12722.14407,12749.7145,12805.70094,12830.15999
8/1/19 9:20 AM,9361.379939,9450.506215,9467.822605,9473.509276,9553.517765
8/1/19 9:30 AM,6426.290177,6504.569384,6603.035407,6638.945694,6662.499455
8/1/19 9:40 AM,4075.271552,4080.944921,4081.005677,4100.103949,4117.103786
8/1/19 9:50 AM,1360.928069,1442.477861,1539.139322,1588.729783,1669.177485
8/1/19 10:00 AM,951.6414548,1045.207141,1064.511678,1108.732281,1148.532957
8/1/19 10:10 AM,136.3327587,187.7893879,224.8496821,314.9856388,408.6840293
8/1/19 10:20 AM,0,77.00355035,79.15188075,126.5694587,187.2098903
8/1/19 10:30 AM,469.8104894,552.9905247,557.2499937,577.4252627,636.9394559
8/1/19 10:40 AM,3299.021568,3300.139848,3398.135762,3410.709688,3459.663587
8/1/19 10:50 AM,9147.373811,9221.088829,9237.884997,9271.635652,9340.203115
8/1/19 11:00 AM,25952.11061,26014.3699,26090.34315,26151.48101,26162.88023
8/1/19 11:10 AM,30168.31647,30197.31238,30265.97225,30360.99841,30388.90364
8/1/19 11:20 AM,28419.87593,28452.68013,28481.60748,28530.78096,28566.89654
8/1/19 11:30 AM,42166.2602,42262.60756,42296.52411,42375.2944,42436.8478
8/1/19 11:40 AM,56310.7053,56346.30582,56362.99307,56410.6489,56489.10138
8/1/19 11:50 AM,75480.05012,75480.86735,75491.90842,75572.7797,75657.20557
8/1/19 12:00 PM,94693.73599,94725.6521,94798.29882,94825.50134,94920.61413
8/1/19 12:10 PM,116672.6767,116771.8106,116834.1478,116921.8091,116929.3019
8/1/19 12:20 PM,146932.1507,146961.3756,146991.0788,147081.4462,147083.2369
8/1/19 12:30 PM,194149.5321,194188.3714,194269.3766,194318.6254,194346.776
8/1/19 12:40 PM,194149.5321,194225.0808,194264.6341,194330.601,194416.4228
8/1/19 12:50 PM,194149.5321,194191.6228,194266.6777,194354.6506,194364.6758
8/1/19 1:00 PM,194149.5321,194159.0737,194190.6211,194196.6326,194233.3926
8/1/19 1:10 PM,194149.5321,194195.5926,194199.0883,194233.4734,194235.1345
8/1/19 1:20 PM,194149.5321,194185.197,194278.4352,194342.2365,194436.7487
8/1/19 1:30 PM,194149.5321,194198.2547,194245.6159,194334.1792,194342.6118
8/1/19 1:40 PM,194149.5321,194206.2303,194297.5812,194344.1645,194431.6609
8/1/19 1:50 PM,194149.5321,194238.1144,194312.6233,194388.0629,194428.1021
8/1/19 2:00 PM,194149.5321,194177.2089,194237.778,194303.6054,194368.1016
8/1/19 2:10 PM,194149.5321,194241.8592,194308.0364,194348.5737,194369.9256
8/1/19 2:20 PM,194149.5321,194202.3773,194211.8357,194253.4261,194344.0603
8/1/19 2:30 PM,194149.5321,194191.4666,194241.3232,194280.5749,194308.6861
8/1/19 2:40 PM,194149.5321,194218.2451,194286.8273,194346.4931,194427.0151
8/1/19 2:50 PM,194149.5321,194166.3906,194256.3372,194294.6792,194337.7998
8/1/19 3:00 PM,194149.5321,194221.3896,194260.8551,194336.029,194369.912
8/1/19 3:10 PM,194149.5321,194217.0368,194254.783,194324.1393,194396.5508
8/1/19 3:20 PM,194149.5321,194160.946,194199.339,194245.5184,194311.8948
8/1/19 3:30 PM,146157.3103,146214.5444,146215.9597,146233.1471,146292.3017
8/1/19 3:40 PM,104362.209,104398.0713,104422.0289,104481.1174,104580.3049
8/1/19 3:50 PM,74660.03132,74718.8908,74781.39733,74794.86692,74813.67624
8/1/19 4:00 PM,52805.32814,52881.57412,52979.85066,53070.66889,53074.93111
8/1/19 4:10 PM,34503.78577,34591.52414,34648.00502,34658.57611,34685.91421
8/1/19 4:20 PM,18016.04937,18077.6162,18094.80985,18125.95642,18135.10608
8/1/19 4:30 PM,5663.370467,5724.181971,5752.295381,5764.136666,5768.271156
8/1/19 4:40 PM,205.9994882,221.3228438,223.2945429,290.1354047,324.4984435
8/1/19 4:50 PM,0,16.59527135,94.77687063,123.2403435,161.5682305
8/1/19 5:00 PM,4238.107819,4279.87194,4311.018953,4367.720752,4459.402338
8/1/19 5:10 PM,15088.11184,15113.39459,15177.17529,15237.82526,15291.28007
8/1/19 5:20 PM,1201.146693,1289.219194,1371.085561,1452.457031,1459.429312
8/1/19 5:30 PM,8302.480473,8384.817385,8449.239497,8524.72751,8526.140637
8/1/19 5:40 PM,84274.54434,84293.93943,84378.56597,84400.09143,84497.41909
8/1/19 5:50 PM,94381.96405,94416.17493,94469.34542,94527.44426,94588.27327
8/1/19 6:00 PM,71757.96127,71798.54639,71873.67404,71875.92715,71946.04772
8/1/19 6:10 PM,80943.39728,80987.39258,81059.07579,81127.5701,81159.28192
8/1/19 6:20 PM,90412.06216,90448.00498,90485.14058,90521.78758,90581.00484
8/1/19 6:30 PM,102065.2683,102086.9713,102115.123,102121.9123,102189.9485
8/1/19 6:40 PM,123270.3301,123332.8799,123421.962,123493.3151,123515.1075
